Time	Humidity (%)	Temperature (C)
13:07:17	32.0	18.0
13:07:18	33.0	17.0
13:07:19	33.0	17.0
13:07:20	33.0	17.0
13:07:21	33.0	17.0
13:07:22	33.0	17.0
13:07:23	34.0	17.0
13:07:24	34.0	17.0
13:07:25	34.0	17.0
13:07:26	34.0	17.0
13:07:27	35.0	17.0
13:07:28	35.0	17.0
13:07:29	35.0	17.0
13:07:31	35.0	17.0
13:07:32	35.0	17.0
13:07:33	36.0	17.0
13:07:34	36.0	17.0
13:07:35	36.0	17.0
13:07:36	36.0	17.0
13:07:37	36.0	17.0
13:07:38	36.0	17.0
13:07:39	36.0	17.0
13:07:40	36.0	17.0
13:07:41	36.0	16.0
13:07:42	36.0	16.0
13:07:43	36.0	16.0
13:07:44	36.0	16.0
13:07:45	36.0	16.0
13:07:46	35.0	16.0
13:07:47	35.0	16.0
13:07:48	35.0	16.0
13:07:49	35.0	16.0
13:07:50	35.0	16.0
13:07:51	35.0	16.0
13:07:53	34.0	16.0
13:07:54	34.0	16.0
13:07:55	34.0	16.0
13:07:56	34.0	16.0
13:07:57	33.0	16.0
13:07:58	33.0	16.0
13:07:59	33.0	16.0
13:08:00	33.0	16.0
13:08:01	32.0	16.0
13:08:02	32.0	16.0
13:08:03	32.0	16.0
13:08:04	31.0	16.0
13:08:05	31.0	16.0
13:08:06	31.0	16.0
13:08:07	30.0	15.0
13:08:08	30.0	15.0
13:08:09	30.0	15.0
13:08:10	30.0	15.0
13:08:11	29.0	15.0
13:08:12	29.0	15.0
13:08:13	29.0	15.0
13:08:14	28.0	15.0
13:08:16	28.0	15.0
13:08:17	28.0	15.0
13:08:18	28.0	15.0
13:08:19	28.0	15.0
13:08:20	27.0	15.0
13:08:21	27.0	15.0
13:08:22	27.0	15.0
13:08:23	26.0	15.0
13:08:24	26.0	15.0
13:08:25	26.0	15.0
13:08:26	26.0	15.0
13:08:27	26.0	15.0
13:08:28	25.0	15.0
13:08:29	25.0	14.0
13:08:30	25.0	14.0
13:08:31	25.0	14.0
13:08:32	25.0	14.0
13:08:33	25.0	14.0
13:08:34	25.0	14.0
13:08:35	24.0	14.0
13:08:36	24.0	14.0
13:08:38	24.0	14.0
13:08:39	24.0	14.0
13:08:40	24.0	14.0
13:08:41	24.0	14.0
13:08:42	24.0	14.0
13:08:43	24.0	14.0
13:08:44	24.0	14.0
13:08:45	24.0	14.0
13:08:46	24.0	14.0
13:08:47	24.0	14.0
13:08:48	24.0	14.0
13:08:49	24.0	14.0
13:08:50	24.0	13.0
13:08:51	24.0	13.0
13:08:52	24.0	13.0
13:08:53	24.0	13.0
13:08:54	24.0	13.0
13:08:55	24.0	13.0
13:08:56	23.0	13.0
13:08:57	24.0	13.0
13:08:58	24.0	13.0
13:09:00	23.0	13.0
13:09:01	24.0	13.0
13:09:02	23.0	13.0
13:09:03	23.0	13.0
13:09:04	24.0	13.0
13:09:05	24.0	13.0
13:09:06	24.0	13.0
13:09:07	24.0	13.0
13:09:08	23.0	13.0
13:09:09	23.0	13.0
13:09:10	24.0	13.0
13:09:11	24.0	12.0
13:09:12	24.0	12.0
13:09:13	24.0	12.0
13:09:14	24.0	12.0
13:09:15	24.0	12.0
13:09:16	24.0	12.0
13:09:17	24.0	12.0
13:09:18	24.0	12.0
13:09:19	24.0	12.0
13:09:20	24.0	12.0
13:09:22	24.0	12.0
13:09:23	24.0	12.0
13:09:24	24.0	12.0
13:09:25	24.0	12.0
13:09:26	24.0	12.0
13:09:27	24.0	12.0
13:09:28	24.0	12.0
13:09:29	24.0	12.0
13:09:30	24.0	12.0
13:09:31	24.0	12.0
13:09:32	24.0	11.0
13:09:33	24.0	11.0
13:09:34	24.0	11.0
13:09:35	24.0	11.0
13:09:36	24.0	11.0
13:09:37	24.0	11.0
13:09:38	24.0	11.0
13:09:39	24.0	11.0
13:09:40	24.0	11.0
13:09:41	24.0	11.0
13:09:42	24.0	11.0
13:09:43	24.0	11.0
13:09:45	24.0	11.0
13:09:46	23.0	11.0
13:09:47	24.0	11.0
13:09:48	23.0	11.0
13:09:49	23.0	11.0
13:09:50	23.0	11.0
13:09:51	23.0	11.0
13:09:52	23.0	11.0
13:09:53	23.0	11.0
13:09:54	23.0	11.0
13:09:55	23.0	10.0
13:09:56	23.0	10.0
13:09:57	23.0	10.0
13:09:58	23.0	10.0
13:09:59	23.0	10.0
13:10:00	23.0	10.0
13:10:01	23.0	10.0
13:10:02	23.0	10.0
13:10:03	23.0	10.0
13:10:04	22.0	10.0
13:10:05	22.0	10.0
13:10:07	22.0	10.0
13:10:08	22.0	10.0
13:10:09	22.0	10.0
13:10:10	22.0	10.0
13:10:11	22.0	10.0
13:10:12	22.0	10.0
13:10:13	22.0	10.0
13:10:14	22.0	10.0
13:10:15	22.0	10.0
13:10:16	22.0	10.0
13:10:17	22.0	10.0
13:10:18	22.0	9.0
13:10:19	22.0	9.0
13:10:20	22.0	9.0
13:10:21	22.0	9.0
13:10:22	22.0	9.0
13:10:23	21.0	9.0
13:10:24	21.0	9.0
13:10:25	21.0	9.0
13:10:26	21.0	9.0
13:10:27	21.0	9.0
13:10:29	21.0	9.0
13:10:30	21.0	9.0
13:10:31	21.0	9.0
